City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Eureka,US,55.0,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
227,Lompoc,US,57.2,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
228,Yantzaza,EC,70.74,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
236,Kibondo,TZ,60.55,overcast clouds,-3.5864,30.7203,Pongezi Annex Guest House
240,Bilma,NE,54.12,clear sky,18.6853,12.9164,Expeditions Ténére voyages
241,Hasaki,JP,50.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
242,Biltine,TD,62.02,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
244,Red Bluff,US,62.6,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
245,Victoria Falls,ZW,67.77,moderate rain,-17.9235,25.843000000000004,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
246,Maldonado,UY,69.8,broken clouds,-34.6667,-54.9167,La Cimarrona
249,Hit,IQ,63.41,broken clouds,33.6416,42.8251,صالون زيرو
250,Kruisfontein,ZA,62.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
253,Adre,TD,63.7,few clouds,13.4667,22.2,
256,Lagoa,PT,57.87,overcast clouds,39.05,-27.9833,Casa Das Faias
263,Taoudenni,ML,68.36,broken clouds,22.6783,-3.9836,
264,Rabo De Peixe,PT,57.99,few clouds,37.8,-25.5833,Quinta das Giestas
265,Srivardhan,IN,70.18,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
266,Cacoal,BR,74.68,few clouds,-11.4386,-61.4472,Hotel BR 364
269,Sokoto,NG,74.5,few clouds,13.0609,5.239,Shukura Coral Hotel
270,Picton,AU,72.0,broken clouds,-34.1833,150.6,Picton Valley Motel
277,Kunya,NG,71.6,clear sky,12.2233,8.5325,
285,Ngorongoro,TZ,52.2,broken clouds,-3.2397,35.4875,Simba Special Campsite B
286,Sao Felix Do Xingu,BR,73.27,moderate rain,-6.6447,-51.995,Rio Xingu Camping
288,Te Anau,NZ,59.97,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
290,Abu Dhabi,AE,66.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
296,Dunedin,NZ,57.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
299,Riyadh,SA,68.0,clear sky,24.6877,46.7219,InterContinental Riyadh
305,Gumdag,TM,53.08,clear sky,39.2061,54.5906,
312,Salta,AR,64.4,light intensity drizzle,-24.7859,-65.4117,Hotel Alejandro I
314,San Quintin,MX,59.38,overcast clouds,30.4833,-115.95,Old Mill Hotel
317,Padang,ID,71.6,few clouds,-0.9492,100.3543,Mercure Padang
319,Hambantota,LK,74.05,clear sky,6.1241,81.1185,Bungalow 63
321,Portland,US,51.01,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
322,Benito Juarez,MX,73.4,broken clouds,19.385,-99.165,Hotel Novit
323,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
326,Abha,SA,62.6,clear sky,18.2164,42.5053,Abha Hotel
327,Virginia Beach,US,57.0,clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
331,Katsuura,JP,50.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
332,Salinas,US,57.2,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
334,Razole,IN,66.52,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
337,Moron,AR,73.99,few clouds,-34.6534,-58.6198,Hotel Morón
339,Tignere,CM,63.41,clear sky,7.3667,12.65,SADECK
341,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
342,Taltal,CL,65.95,clear sky,-25.4,-70.4833,Residencial Karime
350,Illapel,CL,62.87,clear sky,-31.6308,-71.1653,Hotel Londres
351,Orapa,BW,67.77,overcast clouds,-21.2833,25.3667,
356,Half Moon Bay,US,57.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
357,Ajdabiya,LY,50.59,broken clouds,30.7554,20.2263,Almadina Hotel
364,Pacifica,US,55.99,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
