City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bushehr,IR,2021-02-16 19:55:15,28.9684,50.8385,64.4,94,56,6.15
67,Port Alfred,ZA,2021-02-16 19:55:15,-33.5906,26.891,64.83,66,48,11.14
68,Aksu,CN,2021-02-16 19:55:15,41.1231,80.2644,32.79,82,48,2.73
69,North Platte,US,2021-02-16 19:55:15,41.1239,-100.7654,3.99,66,90,11.5
70,Yellowknife,CA,2021-02-16 19:55:16,62.456,-114.3525,-15.0,76,75,4.61
71,Omsukchan,RU,2021-02-16 19:55:16,62.5333,155.8,-25.94,83,44,4.38
72,Isangel,VU,2021-02-16 19:55:16,-19.55,169.2667,82.74,78,47,3.69
73,Torbay,CA,2021-02-16 19:55:17,47.6666,-52.7314,28.0,63,90,16.11
74,Coquimbo,CL,2021-02-16 19:51:17,-29.9533,-71.3436,69.8,64,20,14.97
75,Freetown,SL,2021-02-16 19:55:17,8.484,-13.2299,78.76,84,2,11.23
76,Erzin,TR,2021-02-16 19:55:17,36.9559,36.2,41.0,95,99,18.99
77,Saint-Philippe,RE,2021-02-16 19:55:18,-21.3585,55.7679,82.4,69,90,4.61
78,Georgetown,MY,2021-02-16 19:55:18,5.4112,100.3354,78.8,83,20,2.3
79,Moose Factory,CA,2021-02-16 19:55:18,51.2585,-80.6094,3.2,60,1,9.22
80,Murgab,TM,2021-02-16 19:55:19,37.4966,61.9714,51.8,58,0,7.31
81,Ponta Do Sol,PT,2021-02-16 19:55:19,32.6667,-17.1,66.2,34,20,5.75
82,Dzilam Gonzalez,MX,2021-02-16 19:55:19,21.2833,-88.9333,75.74,66,77,8.81
83,Ushuaia,AR,2021-02-16 19:50:30,-54.8,-68.3,66.2,37,20,13.8
84,Sikonge,TZ,2021-02-16 19:55:20,-5.6333,32.7667,65.19,91,100,1.77
85,Cidreira,BR,2021-02-16 19:55:21,-30.1811,-50.2056,78.93,71,6,9.1
86,Port Elizabeth,ZA,2021-02-16 19:55:21,-33.918,25.5701,66.2,68,75,10.36
87,Okhotsk,RU,2021-02-16 19:55:21,59.3833,143.3,-6.14,79,0,16.91
88,Puerto Ayora,EC,2021-02-16 19:55:22,-0.7393,-90.3518,84.2,70,75,6.91
89,Alcaniz,ES,2021-02-16 19:55:22,41.05,-0.1333,46.99,92,100,1.01
90,Lata,PT,2021-02-16 19:55:22,40.1629,-8.3327,55.99,92,100,1.57
91,Tiznit,MA,2021-02-16 19:55:23,29.5833,-9.5,59.02,53,0,1.59
92,Olafsvik,IS,2021-02-16 19:55:23,64.8945,-23.7142,39.2,83,77,3.15
93,Camacha,PT,2021-02-16 19:55:23,33.0833,-16.3333,62.6,94,20,5.75
94,Kenai,US,2021-02-16 19:55:23,60.5544,-151.2583,24.01,86,90,5.75
95,Kloulklubed,PW,2021-02-16 19:55:24,7.0419,134.2556,78.8,94,90,11.5
96,Geraldton,AU,2021-02-16 19:55:24,-28.7667,114.6,71.6,83,75,10.36
97,Bathsheba,BB,2021-02-16 19:55:25,13.2167,-59.5167,84.2,54,40,20.71
98,Baishishan,CN,2021-02-16 19:55:25,43.5833,127.5667,-3.06,89,100,11.1
99,Udachnyy,RU,2021-02-16 19:55:25,66.4167,112.4,-31.25,78,90,7.09
100,Paragominas,BR,2021-02-16 19:55:26,-2.9667,-47.4833,77.94,90,86,4.63
101,Saint-Augustin,CA,2021-02-16 19:55:26,51.226,-58.6502,12.49,91,100,5.3
102,Kahului,US,2021-02-16 19:54:30,20.8947,-156.47,77.0,73,1,3.44
103,Yulara,AU,2021-02-16 19:55:28,-25.2406,130.9889,73.4,38,0,9.22
104,Kununurra,AU,2021-02-16 19:55:28,-15.7667,128.7333,80.6,78,100,2.3
105,Skibbereen,IE,2021-02-16 19:55:29,51.55,-9.2667,46.4,93,75,14.97
106,Almeirim,BR,2021-02-16 19:54:27,-1.5233,-52.5817,81.82,76,93,2.64
107,Zambezi,ZM,2021-02-16 19:55:29,-13.5432,23.1047,69.44,80,100,3.67
108,Berdigestyakh,RU,2021-02-16 19:55:30,62.0989,126.6992,-30.14,84,65,2.82
109,Avarua,CK,2021-02-16 19:55:30,-21.2078,-159.775,78.8,94,75,2.3
110,Agfalva,HU,2021-02-16 19:55:30,47.6899,16.5166,35.01,92,100,1.99
111,Khartoum,SD,2021-02-16 19:55:30,15.5518,32.5324,82.99,12,0,18.41
112,Salvador,SV,2021-02-16 19:51:39,13.8333,-88.9167,89.6,42,40,3.44
113,Lambari,BR,2021-02-16 19:55:30,-21.9756,-45.3503,75.88,76,2,4.12
114,Hobyo,SO,2021-02-16 19:55:31,5.3505,48.5268,77.9,78,0,14.0
115,Provideniya,RU,2021-02-16 19:55:31,64.3833,-173.3,-0.4,71,0,20.13
116,Schwabisch Hall,DE,2021-02-16 19:55:31,49.1113,9.7391,39.2,87,40,2.3
117,East London,ZA,2021-02-16 19:55:32,-33.0153,27.9116,66.69,67,22,8.61
118,Chhatapur,IN,2021-02-16 19:55:32,26.2167,87.0167,60.53,50,54,2.44
119,Negara,ID,2021-02-16 19:55:33,-8.3151,114.6025,76.12,86,100,0.54
120,Sao Joao Da Barra,BR,2021-02-16 19:55:33,-21.6403,-41.0511,87.8,58,20,16.11
121,Airai,TL,2021-02-16 19:55:33,-8.9266,125.4092,60.66,100,100,2.06
122,Lunsar,SL,2021-02-16 19:55:34,8.6833,-12.5333,80.11,69,47,5.95
123,Mehamn,NO,2021-02-16 19:55:34,71.0357,27.8492,17.8,90,100,8.14
124,Grand Forks,US,2021-02-16 19:55:34,47.9417,-97.4337,1.4,51,20,9.22
125,Westport,US,2021-02-16 19:55:34,41.1415,-73.3579,48.2,76,1,12.66
126,Tuatapere,NZ,2021-02-16 19:55:35,-46.1333,167.6833,46.0,92,2,1.99
127,La Asuncion,VE,2021-02-16 19:55:35,11.0333,-63.8628,78.64,73,98,21.25
128,Kabanjahe,ID,2021-02-16 19:55:36,3.1001,98.4908,77.0,94,20,3.44
129,Muros,ES,2021-02-16 19:55:36,42.7762,-9.0603,55.0,78,28,11.99
130,Yaan,NG,2021-02-16 19:55:37,7.3833,8.5667,85.14,13,17,4.36
131,Atar,MR,2021-02-16 19:55:37,20.5169,-13.0499,75.13,20,94,11.3
132,Barcelos,PT,2021-02-16 19:55:10,41.5388,-8.6151,55.4,94,75,3.44
133,Kavaratti,IN,2021-02-16 19:55:38,10.5669,72.642,81.21,57,0,2.62
134,Arshan,RU,2021-02-16 19:55:38,46.2732,44.22,14.0,85,100,13.42
135,Kyshtovka,RU,2021-02-16 19:55:39,56.555,76.6271,-6.74,91,3,6.31
136,Vila Franca Do Campo,PT,2021-02-16 19:55:40,37.7167,-25.4333,59.0,67,40,14.97
137,Carauari,BR,2021-02-16 19:55:41,-4.8828,-66.8958,90.5,54,90,3.51
138,Ahipara,NZ,2021-02-16 19:55:42,-35.1667,173.1667,66.18,70,87,7.61
139,Russell,US,2021-02-16 19:55:43,32.3502,-85.1999,33.8,60,40,9.22
140,Mahebourg,MU,2021-02-16 19:55:43,-20.4081,57.7,77.0,100,40,5.75
141,Klaksvik,FO,2021-02-16 19:55:43,62.2266,-6.589,42.8,100,90,26.46
142,Sioux Lookout,CA,2021-02-16 19:55:43,50.1001,-91.917,3.2,43,20,5.75
143,Bambous Virieux,MU,2021-02-16 19:55:43,-20.3428,57.7575,78.01,100,40,5.75
144,Kerema,PG,2021-02-16 19:55:43,-7.9631,145.7785,77.63,82,100,10.36
145,Coruripe,BR,2021-02-16 19:55:44,-10.1256,-36.1756,82.18,74,99,16.78
146,Rio Gallegos,AR,2021-02-16 19:55:44,-51.6226,-69.2181,69.8,32,75,5.75
147,Huanren,CN,2021-02-16 19:55:44,41.2647,125.3667,0.73,85,21,4.52
148,Talnakh,RU,2021-02-16 19:55:45,69.4865,88.3972,-19.26,81,86,1.81
149,Saryozek,KZ,2021-02-16 19:55:45,44.3583,77.9753,34.75,74,0,5.59
150,Nuevo Progreso,MX,2021-02-16 19:55:45,23.1667,-97.95,59.0,44,21,1.99
151,Te Anau,NZ,2021-02-16 19:55:45,-45.4167,167.7167,45.37,74,7,0.31
152,Ulaangom,MN,2021-02-16 19:55:45,49.9811,92.0667,-5.51,90,76,1.21
153,North Battleford,CA,2021-02-16 19:55:46,52.7834,-108.2847,-9.4,70,1,5.75
154,Mocuba,MZ,2021-02-16 19:55:46,-16.8392,36.9856,74.66,97,100,4.72
155,Miramar,US,2021-02-16 19:55:46,25.9873,-80.2323,81.0,78,75,9.22
156,Nacala,MZ,2021-02-16 19:55:46,-14.5428,40.6728,81.37,81,100,16.84
157,Gizo,SB,2021-02-16 19:55:47,-8.103,156.8419,82.76,74,92,8.21
158,Bubaque,GW,2021-02-16 19:55:47,11.2833,-15.8333,77.74,65,73,16.8
159,Refojos De Basto,PT,2021-02-16 19:55:48,41.5132,-7.9952,55.0,90,100,2.73
160,Tiksi,RU,2021-02-16 19:55:48,71.6872,128.8694,-22.77,83,87,3.15
161,Saskylakh,RU,2021-02-16 19:55:48,71.9167,114.0833,-22.25,85,85,10.02
162,Pentecoste,BR,2021-02-16 19:55:48,-3.7928,-39.2703,77.0,83,100,1.97
163,Boromo,BF,2021-02-16 19:55:48,11.75,-2.9333,89.31,16,50,5.5
164,Namibe,AO,2021-02-16 19:55:50,-15.1961,12.1522,74.73,78,7,8.7
165,Belyy Yar,RU,2021-02-16 19:55:50,53.6039,91.3903,15.8,86,100,2.24
166,Saint-Pierre,RE,2021-02-16 19:55:51,-21.3393,55.4781,82.4,69,90,4.61
167,Norman Wells,CA,2021-02-16 19:55:51,65.282,-126.8329,-16.6,83,75,4.61
168,Bandarbeyla,SO,2021-02-16 19:55:51,9.4942,50.8122,75.49,74,10,10.13
169,Barrow,US,2021-02-16 19:55:52,71.2906,-156.7887,-9.4,70,90,12.66
170,Saint George,US,2021-02-16 19:52:29,37.1041,-113.5841,55.99,24,1,19.57
171,Lagoa,PT,2021-02-16 19:55:52,39.05,-27.9833,58.08,76,100,23.15
172,Dubbo,AU,2021-02-16 19:55:52,-32.25,148.6167,60.8,88,100,10.36
173,Thompson,CA,2021-02-16 19:55:52,55.7435,-97.8558,3.2,72,40,9.22
174,Botngard,NO,2021-02-16 19:55:52,63.7653,9.8111,32.0,64,0,32.21
175,Kodiak,US,2021-02-16 19:55:53,57.79,-152.4072,33.8,86,75,7.27
176,Craig,US,2021-02-16 19:55:53,40.5153,-107.5464,30.2,74,90,11.5
177,Port Lincoln,AU,2021-02-16 19:55:54,-34.7333,135.8667,73.0,58,0,8.72
178,Petropavlovsk-Kamchatskiy,RU,2021-02-16 19:55:54,53.0452,158.6483,15.8,67,75,4.47
179,Minna,NG,2021-02-16 19:55:55,9.6139,6.5569,93.2,15,0,9.22
180,Shache,CN,2021-02-16 19:55:55,38.4167,77.2406,36.41,69,94,2.48
